task_id,study,theta,Omega_hat
lorenz2017_task_184,lorenz2011,430.0,0.7348999999999354
lorenz2017_task_734,lorenz2011,350.0,0.8643999999999211
lorenz2017_task_10067,lorenz2011,12000.0,0.738799999999935
lorenz2017_task_198,lorenz2011,92.0,0.8062999999999275
lorenz2017_task_639,lorenz2011,98.0,0.810699999999927
lorenz2017_task_9272,lorenz2011,806.0,0.8846999999999189
gurcay2015_task_1_3718691.0,gurcay2015,1000000.0,0.9008999999999171
gurcay2015_task_2_39.52,gurcay2015,15.0,0.8431999999999235
gurcay2015_task_3_2723.0,gurcay2015,1050.0,0.8752999999999199
gurcay2015_task_4_7825200.0,gurcay2015,5000000.0,0.765299999999932
gurcay2015_task_5_24901.4611,gurcay2015,2048.0,0.9489999999999118
gurcay2015_task_6_47184.0,gurcay2015,28000.0,0.8497999999999227
gurcay2015_task_7_43.0,gurcay2015,50.0,0.7261999999999363
gurcay2015_task_8_236.0,gurcay2015,200.0,0.6492999999999448
gurcay2015_task_9_16.4,gurcay2015,20.0,0.5279999999999582
gurcay2015_task_10_7.08,gurcay2015,20.0,0.4412999999999677
gurcay2015_task_11_2.7,gurcay2015,5.0,0.4340999999999685
gurcay2015_task_12_49.5,gurcay2015,35.0,0.40479999999997174
gurcay2015_task_13_24.9,gurcay2015,9.0,0.5813999999999523
gurcay2015_task_14_25.0,gurcay2015,30.0,0.3741999999999751
gurcay2015_task_15_41.0,gurcay2015,41.0,0.24409999999998944
gurcay2015_task_16_63.0,gurcay2015,60.0,0.4857999999999628
df_becker2017_750,becker2017,600.0,0.26839999999998676
df_becker2017_4389,becker2017,3000.0,0.36029999999997664
df_becker2017_278,becker2017,300.0,0.31369999999998177
df_becker2017_546,becker2017,350.0,0.5377999999999571
df_becker2017_819,becker2017,440.0,0.5834999999999521
df_becker2017_4700,becker2017,1050.0,0.5950999999999508
df_becker2017_291,becker2017,250.0,0.3923999999999731
df_becker2017_246,becker2017,200.0,0.5127999999999598
df_becker2017_759,becker2017,500.0,0.6279999999999472
df_becker2017_4299,becker2017,2476.0,0.35019999999997775
df_becker2017_268,becker2017,48.0,0.7465999999999341
df_becker2017_346,becker2017,200.0,0.6410999999999457
df_becker2017_729,becker2017,280.0,0.5422999999999566
df_becker2017_4000,becker2017,5500.0,0.3533999999999774
df_becker2017_259,becker2017,264.0,0.32649999999998036
df_becker2017_550,becker2017,150.0,0.5911999999999512
df_becker2017_3218,becker2017,4100.0,0.27739999999998577
df_becker2017_279,becker2017,460.0,0.32859999999998013
df_becker2017_61,becker2017,55.0,0.38839999999997354
df_becker2017_46,becker2017,80.0,0.4912999999999622
df_becker2017_74,becker2017,70.0,0.5552999999999552
df_becker2017_55,becker2017,50.0,0.36189999999997646
df_becker2017_59,becker2017,60.0,0.45379999999996634
df_becker2017_39,becker2017,40.0,0.6149999999999486
df_becker2017_54,becker2017,50.0,0.43909999999996796
df_becker2017_26,becker2017,45.0,0.5037999999999608
df_becker2017_45,becker2017,50.0,0.37309999999997523
df_becker2017_41,becker2017,60.0,0.375199999999975
df_becker2019_Unemployment,becker2019,4.7,0.5601999999999546
df_becker2019_Election,becker2019,250.0,0.5528999999999554
df_becker2019_Taxes,becker2019,15.0,0.5866999999999517
df_becker2019_California,becker2019,67.0,0.5158999999999595
df_becker2019_Military,becker2019,25.0,0.69309999999994
df_becker2019_Immigration,becker2019,25.0,0.7176999999999373
df_becker2019_Soldiers,becker2019,5000.0,0.8527999999999224
