group_task,group_id,group_size,Omega_hat,task_id,revised_woc,initial_woc,influence,dataset,theta,revised_mse,initial_mse,revised_abs_error,initial_abs_error,revised_mse_zscore,initial_mse_zscore,revised_abs_error_zscore,initial_abs_error_zscore,improved
081111_1557_lorenz2017_task_184,081111_1557,12,0.4175999999999703,lorenz2017_task_184,3639.8333333333335,21347.333333333332,0,lorenz2011,430.0,10303030.027777778,437534833.77777773,3209.8333333333335,20917.333333333332,3.1751719146283484,3.1753080548807553,3.152632431774584,3.1580522911533713,True
081111_1557_lorenz2017_task_734,081111_1557,12,0.4920999999999621,lorenz2017_task_734,308.1666666666667,297.0,1,lorenz2011,350.0,1750.0277777777762,2809.0,41.833333333333314,53.0,-0.28867513477895873,-0.2886751474436044,-0.28869016178562185,-0.2887743002751381,True
081111_1557_lorenz2017_task_10067,081111_1557,12,0.4721999999999643,lorenz2017_task_10067,13799.25,50137.666666666664,1,lorenz2011,12000.0,3237300.5625,1454481618.7777777,1799.25,38137.666666666664,-0.5993633870884553,2.40353478384647,-0.8401142695254582,1.8483280974933733,True
081111_1557_lorenz2017_task_198,081111_1557,12,0.6316999999999467,lorenz2017_task_198,2696.5833333333335,199.91666666666666,0,lorenz2011,92.0,6783854.340277779,11646.006944444442,2604.5833333333335,107.91666666666666,0.12003792111809738,-0.5164494921150393,0.7454512238360119,-0.7057034411796573,False
081111_1557_lorenz2017_task_639,081111_1557,12,0.6542999999999443,lorenz2017_task_639,595.6666666666666,441.5833333333333,1,lorenz2011,98.0,247672.11111111107,118049.50694444444,497.66666666666663,343.5833333333333,-0.28867513844097914,-0.7796433565886662,-0.288720619257858,-0.8369958455663469,False
081111_1557_lorenz2017_task_9272,081111_1557,12,0.6947999999999398,lorenz2017_task_9272,3866.9166666666665,4856.416666666667,1,lorenz2011,806.0,9369210.840277776,16405875.173611114,3060.9166666666665,4050.416666666667,-0.3433322339773941,-0.3080849314636295,-0.5036511690816728,-0.39036086091221606,True
081113_1411_lorenz2017_task_184,081113_1411,12,0.4175999999999703,lorenz2017_task_184,84.33333333333333,198.0,1,lorenz2011,430.0,119485.44444444445,53824.0,345.6666666666667,232.0,-0.2623274989232618,-0.2943731028661524,-0.09236811766666743,-0.3544417580242035,False
081113_1411_lorenz2017_task_734,081113_1411,12,0.4920999999999621,lorenz2017_task_734,290.0,332.0833333333333,0,lorenz2011,350.0,3600.0,321.00694444444514,60.0,17.916666666666686,-0.28867513477440626,-0.28867514745135725,-0.2886884844766471,-0.2887779454170111,False
081113_1411_lorenz2017_task_10067,081113_1411,12,0.4721999999999643,lorenz2017_task_10067,7788.166666666667,13241.916666666666,1,lorenz2011,12000.0,17739540.027777776,1542357.0069444429,4211.833333333333,1241.916666666666,-0.5326486879897967,-0.8482970518947788,-0.541446634194042,-1.1839360137653387,False
081113_1411_lorenz2017_task_198,081113_1411,12,0.6316999999999467,lorenz2017_task_198,168.91666666666666,505.4166666666667,1,lorenz2011,92.0,5916.1736111111095,170913.34027777778,76.91666666666666,413.4166666666667,-0.3559853792460753,-0.4528941805495252,-0.4703478829369118,-0.3678174170356505,True
081113_1411_lorenz2017_task_639,081113_1411,12,0.6542999999999443,lorenz2017_task_639,8243.0,1497.25,0,lorenz2011,98.0,66341025.0,1957900.5625,8145.0,1399.25,-0.28867510547170827,0.4577409417564125,-0.2884027200796685,0.6989750911971407,False
081113_1411_lorenz2017_task_9272,081113_1411,12,0.6947999999999398,lorenz2017_task_9272,9979.166666666666,10258.333333333334,1,lorenz2011,806.0,84146986.69444443,89346605.44444446,9173.166666666666,9452.333333333334,-0.3419823965433367,-0.307835202308994,-0.45536257937690594,-0.37171259666007295,True
081113_1518_lorenz2017_task_184,081113_1518,12,0.4175999999999703,lorenz2017_task_184,195.91666666666666,477.6666666666667,1,lorenz2011,430.0,54795.006944444445,2272.111111111113,234.08333333333334,47.666666666666686,-0.28416403522444217,-0.2947819631675742,-0.21878812743395973,-0.3857426670288961,False
081113_1518_lorenz2017_task_734,081113_1518,12,0.4920999999999621,lorenz2017_task_734,342.6666666666667,281.6666666666667,1,lorenz2011,350.0,53.7777777777775,4669.444444444442,7.333333333333314,68.33333333333331,-0.2886751347831329,-0.2886751474378071,-0.28869334713385836,-0.28877270714899883,True
081113_1518_lorenz2017_task_10067,081113_1518,12,0.4721999999999643,lorenz2017_task_10067,11537.833333333334,15439.916666666666,0,lorenz2011,12000.0,213598.02777777723,11833026.673611106,462.16666666666606,3439.916666666666,-0.6132733356347352,-0.8252654440955799,-1.0056395435710033,-1.0032941643234206,True
081113_1518_lorenz2017_task_198,081113_1518,12,0.6316999999999467,lorenz2017_task_198,227.91666666666666,631.6666666666666,1,lorenz2011,92.0,18473.340277777774,291240.11111111107,135.91666666666666,539.6666666666666,-0.355103473307587,-0.4048780227478538,-0.44196908273925817,-0.2281836672871044,True
081113_1518_lorenz2017_task_639,081113_1518,12,0.6542999999999443,lorenz2017_task_639,1880.3333333333333,1449.5833333333333,1,lorenz2011,98.0,3176712.111111111,1826777.5069444443,1782.3333333333333,1351.5833333333333,-0.2886751369798895,0.3695546673264523,-0.2886672157432236,0.6296211777278705,False
